"id","trial_no","item_type","ori_source","source","moni_response","assign","rt_moni","word","study_pos","age","gender","occupation","strategy1","strategy2"
101,115,"distractor","nosou","nosou","N","N",0.733745400000316,"Katze",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,116,"distractor","nosou","nosou","N","N",0.789049599999998,"Abgrund",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,117,"F item","right","bottom","R","B",1.05329200000006,"Gift",73,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,118,"distractor","nosou","nosou","N","N",0.821018999999978,"Sturm",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,119,"F item","left","top","N","N",0.852102800000011,"Junge",31,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,120,"distractor","nosou","nosou","N","N",1.21427049999966,"Wiege",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,121,"F item","left","top","N","N",0.893500300000142,"Pfeil",14,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,122,"distractor","nosou","nosou","N","N",0.788897200000065,"Dampf",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,123,"R item","right","bottom","N","N",0.717501500000253,"Gabel",16,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,124,"distractor","nosou","nosou","N","N",1.04587119999997,"Kugel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,125,"distractor","nosou","nosou","N","N",0.869531599999846,"Hotel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,126,"R item","left","top","L","T",0.933298500000092,"Felsen",41,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,127,"F item","left","top","N","N",0.821447999999691,"Gehirn",23,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,128,"distractor","nosou","nosou","N","N",0.781432100000075,"Wald",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,129,"distractor","nosou","nosou","N","N",0.7176386000001,"Geld",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,130,"F item","left","top","R","B",1.34948639999993,"Klavier",44,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,131,"R item","left","top","N","N",0.716750199999751,"Rathaus",57,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,132,"F item","left","top","N","N",0.87810780000018,"Stange",48,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,133,"R item","right","bottom","R","B",0.821052699999655,"Apfel",58,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,134,"F item","right","bottom","N","N",0.910624399999961,"Blut",6,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,135,"F item","right","bottom","R","B",1.08534259999988,"Reptil",40,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
