subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
56	142	*VVV*	top	old	0.87765343371575	T	0.6299662523306324	Nonne	22
56	143	*nnn*	nosou	new	1.3559636053614668	N	-66	Butter	-95
56	144	*nnn*	nosou	new	1.3179062006893218	N	-66	Puppe	-95
56	145	*nnn*	nosou	new	1.7582771214147215	N	-66	Lager	-95
56	146	*nnn*	nosou	new	0.7022308084269753	N	-66	Reptil	-95
56	147	*nnn*	nosou	new	0.7896141213423107	N	-66	Abgrund	-95
56	148	*nnn*	nosou	new	0.8221736843697727	N	-66	Papier	-95
56	149	*nnn*	nosou	new	1.1180113903465099	N	-66	Gras	-95
56	150	*nnn*	nosou	new	0.6438841896306258	N	-66	Lawine	-95
56	151	*nnn*	nosou	new	0.7255501739055035	N	-66	Toast	-95
56	152	*VVV*	top	new	2.4939565177846816	N	-66	Schlamm	29
56	153	*nnn*	nosou	new	0.7739464418846183	N	-66	Frosch	-95
56	154	*EEE*	top	old	0.8613826778382645	B	1.5814157280692598	Blüte	6
56	155	*EEE*	top	old	1.4597263920149999	T	0.7659201920687337	Staub	3
56	156	*nnn*	nosou	new	2.2920485808863305	N	-66	Brief	-95
56	157	*VVV*	top	new	1.1101566275610821	N	-66	Diamant	74
56	158	*nnn*	nosou	new	2.2948366811542655	N	-66	Mutter	-95
56	159	*nnn*	nosou	new	0.8610474986271583	N	-66	Mädchen	-95
56	160	*VVV*	bottom	new	1.7735177242939244	N	-66	Flasche	64
