subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
13	1	*nnn*	nosou	new	3.445818345324369	N	-66	Fluss	-95
13	2	*VVV*	bottom	old	4.995557750880835	T	1.5939374868758023	Metall	53
13	3	*VVV*	bottom	old	7.705231252948579	B	1.877107483720465	Gift	61
13	4	*EEE*	top	old	2.3776276879943907	T	1.3411990298263845	Sturm	35
13	5	*EEE*	bottom	old	1.4822978752054041	B	1.1256112810442573	Berg	59
13	6	*VVV*	top	old	2.002600200859888	B	0.893167354806792	Blüte	55
13	7	*VVV*	top	old	4.737754276509804	T	1.0050186584339826	Küste	4
13	8	*VVV*	bottom	new	1.9514663360605482	N	-66	Nonne	22
13	9	*VVV*	top	new	1.7404430926035275	N	-66	Fahne	3
13	10	*EEE*	top	old	1.6117946883387049	T	0.9089363545645028	Räuber	71
13	11	*EEE*	bottom	old	1.0910730813120608	T	1.7013502336849342	Butter	50
13	12	*nnn*	nosou	old	2.0270567761108396	B	0.5886841621540952	Meer	-95
13	13	*nnn*	nosou	new	2.18716441081051	N	-66	Neffe	-95
13	14	*EEE*	bottom	old	1.11516699049389	T	0.789236448435986	Lerche	49
13	15	*nnn*	nosou	new	1.1774434011167614	N	-66	Sauna	-95
13	16	*nnn*	nosou	old	2.0040545574520365	B	1.34843922307482	Raupe	-95
13	17	*EEE*	top	old	1.2830239458053256	T	0.4847261789109325	Bettler	67
13	18	*EEE*	bottom	old	1.8906094102785573	B	0.6049573662239709	Reptil	45
13	19	*EEE*	top	old	1.3613979710426065	B	0.7407454510830576	Person	2
13	20	*VVV*	bottom	old	2.5543432954364107	T	0.7245858878522995	Flasche	80
13	21	*nnn*	nosou	new	1.136951159875025	N	-66	Dozent	-95
13	22	*VVV*	top	old	1.1806368317702436	T	2.7561140412508394	Redner	21
13	23	*nnn*	nosou	old	4.6745190982255735	B	2.3179937345703365	Nässe	-95
13	24	*EEE*	bottom	old	1.1128539686469594	T	0.3971948353719199	Yacht	29
13	25	*nnn*	nosou	new	1.2993726369240903	N	-66	Gemüse	-95
13	26	*EEE*	bottom	old	2.4367077961724135	T	0.5009292292452301	Heer	24
13	27	*EEE*	bottom	new	3.3700740593703813	N	-66	Eisen	73
13	28	*nnn*	nosou	old	2.8429048731850344	B	0.5328713306735153	Wohnung	-95
13	29	*VVV*	top	old	1.3921819205206702	T	0.51670479310269	Doktor	9
13	30	*VVV*	bottom	old	2.258664601169585	T	0.6374049027217552	Wasser	40
13	31	*nnn*	nosou	new	2.8906237692353898	N	-66	Plakat	-95
13	32	*nnn*	nosou	new	0.9492226474321797	N	-66	Pudding	-95
13	33	*EEE*	bottom	new	3.429119295804412	N	-66	Schiff	48
13	34	*EEE*	bottom	old	1.5244229342788458	B	0.6378094148749369	Klavier	76
13	35	*VVV*	bottom	new	2.235111409041565	N	-66	Fenster	26
13	36	*VVV*	bottom	old	0.878325943260279	T	0.34939470868266653	Blut	32
13	37	*EEE*	top	old	1.419472542409494	B	0.3893782328159432	Wald	65
13	38	*nnn*	nosou	old	2.05032196870161	B	0.5417919314204482	Erde	-95
13	39	*nnn*	nosou	new	1.9851512038585497	N	-66	Junge	-95
13	40	*nnn*	nosou	new	1.0617791806726018	N	-66	Ehefrau	-95
13	41	*nnn*	nosou	new	1.6461999652092345	N	-66	Luft	-95
13	42	*nnn*	nosou	new	0.9055554370424943	N	-66	Lawine	-95
13	43	*nnn*	nosou	new	0.9968590820717509	N	-66	Bankier	-95
13	44	*EEE*	top	old	1.2939355176495155	T	1.4458162940427428	Stirn	44
13	45	*nnn*	nosou	new	1.7067336094623897	N	-66	Wiese	-95
13	46	*VVV*	top	new	3.5095388561385334	N	-66	Winter	34
13	47	*nnn*	nosou	new	1.2839683545171283	N	-66	Möbel	-95
13	48	*nnn*	nosou	new	1.188620408422139	N	-66	Insekt	-95
13	49	*EEE*	top	old	0.9971343636716483	T	0.6378980301160482	Dichter	60
13	50	*nnn*	nosou	old	4.203340794520045	B	0.36549396431655623	Sessel	-95
13	51	*VVV*	bottom	old	1.12296841359057	B	0.7899490626514307	Stein	37
13	52	*nnn*	nosou	new	4.226917371212039	N	-66	Garten	-95
13	53	*VVV*	bottom	new	1.1335169090962154	N	-66	Salat	36
13	54	*EEE*	bottom	new	1.6455308380973293	N	-66	Palast	16
13	55	*VVV*	top	new	2.3666115009473288	N	-66	Hose	46
13	56	*nnn*	nosou	new	4.7418761158915	N	-66	Sänger	-95
13	57	*VVV*	top	old	1.3976969883951824	T	0.4540234600644908	Mutter	66
13	58	*VVV*	top	new	2.0591933387622703	N	-66	Richter	69
13	59	*nnn*	nosou	new	2.174004227279511	N	-66	Pfarrer	-95
13	60	*EEE*	top	old	1.1179702679510228	T	0.45357381977373734	Hektar	31
